#Refer to ReadMe/ReadMe_Get_ENCODE_MetaData_files.txt for details of this metadata file
File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF526MCX	bed narrowPeak	peaks	ENCSR548MMD	DNase-seq	NTR:0004286	EH	immortalized cell line	newborn	male	Homo sapiens							DNA					2015-08-31	ENCODE					1							ENCFF375AVT	3001459	John Stamatoyannopoulos, UW	dfd6da6d5a281f71d004ccde91108a64	https://www.encodeproject.org/files/ENCFF526MCX/@@download/ENCFF526MCX.bed.gz	hg19			archived	mixed run types	experiment not submitted to GEO, NTR biosample		
ENCFF557SVC	bed narrowPeak	peaks	ENCSR548MMD	DNase-seq	NTR:0004286	EH	immortalized cell line	newborn	male	Homo sapiens							DNA					2015-08-31	ENCODE					2							ENCFF627YOR	2374180	John Stamatoyannopoulos, UW	5eea35fa6fac56d2171b6303c8ec8068	https://www.encodeproject.org/files/ENCFF557SVC/@@download/ENCFF557SVC.bed.gz	hg19			archived	mixed run types	experiment not submitted to GEO, NTR biosample		
ENCFF918LTB	bed narrowPeak	peaks	ENCSR548MMD	DNase-seq	NTR:0004286	EH	immortalized cell line	newborn	male	Homo sapiens							DNA					2015-08-31	ENCODE					1							ENCFF163ZHO, ENCFF749MTI	3824695	ENCODE Processing Pipeline	76eeea51244b42d376314fe330e61bb9	https://www.encodeproject.org/files/ENCFF918LTB/@@download/ENCFF918LTB.bed.gz	hg19			released	mixed run types	experiment not submitted to GEO, NTR biosample		
ENCFF816LIF	bed narrowPeak	peaks	ENCSR548MMD	DNase-seq	NTR:0004286	EH	immortalized cell line	newborn	male	Homo sapiens							DNA					2015-08-31	ENCODE					2							ENCFF006KPO, ENCFF163ZHO	1552084	ENCODE Processing Pipeline	9d9ad93256c737f988b41b25bd1fd69f	https://www.encodeproject.org/files/ENCFF816LIF/@@download/ENCFF816LIF.bed.gz	hg19			released	mixed run types	experiment not submitted to GEO, NTR biosample		
ENCFF706LAS	bed narrowPeak	peaks	ENCSR548MMD	DNase-seq	NTR:0004286	EH	immortalized cell line	newborn	male	Homo sapiens							DNA					2015-08-31	ENCODE					1							ENCFF779AZU, ENCFF992CZQ	3839596	ENCODE Processing Pipeline	669fb8e8a343e987172229f69d562a08	https://www.encodeproject.org/files/ENCFF706LAS/@@download/ENCFF706LAS.bed.gz	GRCh38			released	mixed run types	experiment not submitted to GEO, NTR biosample		
ENCFF452XME	bed narrowPeak	peaks	ENCSR548MMD	DNase-seq	NTR:0004286	EH	immortalized cell line	newborn	male	Homo sapiens							DNA					2015-08-31	ENCODE					2							ENCFF436UES, ENCFF992CZQ	1556224	ENCODE Processing Pipeline	1e10696301ba49d7c2e5bfb6ae87b304	https://www.encodeproject.org/files/ENCFF452XME/@@download/ENCFF452XME.bed.gz	GRCh38			released	mixed run types	experiment not submitted to GEO, NTR biosample		
ENCFF036ENJ	bed narrowPeak	peaks	ENCSR447ULX	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens							DNA					2016-11-02	ENCODE					1		36					ENCFF393OLH	1924021	John Stamatoyannopoulos, UW	98f02577000f00d1cc1dde3b77fd4553	https://www.encodeproject.org/files/ENCFF036ENJ/@@download/ENCFF036ENJ.bed.gz	hg19			archived		experiment not submitted to GEO	unreplicated experiment	
ENCFF916CGB	bed narrowPeak	peaks	ENCSR447ULX	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens							DNA					2016-11-02	ENCODE					1							ENCFF163ZHO, ENCFF511FQE	726790	ENCODE Processing Pipeline	7b6bec5a3a84556ab607187f981053e6	https://www.encodeproject.org/files/ENCFF916CGB/@@download/ENCFF916CGB.bed.gz	hg19			released		experiment not submitted to GEO	unreplicated experiment	
ENCFF914WRY	bed narrowPeak	peaks	ENCSR447ULX	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	Homo sapiens							DNA					2016-11-02	ENCODE					1							ENCFF689TYP, ENCFF992CZQ	732631	ENCODE Processing Pipeline	59737171cd6078db088fb75c2be62485	https://www.encodeproject.org/files/ENCFF914WRY/@@download/ENCFF914WRY.bed.gz	GRCh38			released		experiment not submitted to GEO	unreplicated experiment	
ENCFF995SLU	bed narrowPeak	peaks	ENCSR515EWI	DNase-seq	EFO:0002150	Caki2	immortalized cell line	adult	male	Homo sapiens							DNA					2015-08-18	ENCODE					1							ENCFF465NUQ	2049648	John Stamatoyannopoulos, UW	cddd19e10a64b3981ce0ad6dc0ef2eb1	https://www.encodeproject.org/files/ENCFF995SLU/@@download/ENCFF995SLU.bed.gz	hg19			archived	mixed run types	experiment not submitted to GEO, sequencing runs labeled as technical replicates		
