#Refer to ReadMe/ReadMe_Get_ENCODE_MetaData_files.txt for details of this metadata file
File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF659DPA	bed narrowPeak	peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					1							ENCFF999YSD	6233291	ENCODE Processing Pipeline	ff10f7e3762f5e557a916667b4dc0812	https://www.encodeproject.org/files/ENCFF659DPA/@@download/ENCFF659DPA.bed.gz	GRCh38			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF120CFE	bed narrowPeak	peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					2							ENCFF246NWJ	5432027	ENCODE Processing Pipeline	94b4c3dcdfe4a3857b331f00a9c2e00a	https://www.encodeproject.org/files/ENCFF120CFE/@@download/ENCFF120CFE.bed.gz	GRCh38			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF388FCL	bed narrowPeak	peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					1, 2							ENCFF246NWJ, ENCFF999YSD	6538637	ENCODE Processing Pipeline	817b3976caa5c2ea3fc1065f261ada90	https://www.encodeproject.org/files/ENCFF388FCL/@@download/ENCFF388FCL.bed.gz	GRCh38			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF061FMV	bed narrowPeak	conservative idr thresholded peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					1, 2							ENCFF120CFE, ENCFF388FCL, ENCFF419RSJ, ENCFF659DPA	837677	ENCODE Processing Pipeline	d4f213a65552c269e80e43cd417be9a0	https://www.encodeproject.org/files/ENCFF061FMV/@@download/ENCFF061FMV.bed.gz	GRCh38			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF874PIO	bed narrowPeak	optimal idr thresholded peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					1, 2							ENCFF120CFE, ENCFF388FCL, ENCFF419RSJ, ENCFF659DPA	937769	ENCODE Processing Pipeline	e096d2f8aa353c4155dc45af0de569af	https://www.encodeproject.org/files/ENCFF874PIO/@@download/ENCFF874PIO.bed.gz	GRCh38			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF611TJW	bed narrowPeak	peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					1							ENCFF203ABR, ENCFF829CNY	6477887	ENCODE Processing Pipeline	226b1cafb0c2332c9b930e60b801ff64	https://www.encodeproject.org/files/ENCFF611TJW/@@download/ENCFF611TJW.bed.gz	hg19			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF448PNP	bed narrowPeak	peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					1, 2							ENCFF203ABR, ENCFF697CIN, ENCFF829CNY	6818648	ENCODE Processing Pipeline	a69c37146be3d80ceb9ab1e73d051f1d	https://www.encodeproject.org/files/ENCFF448PNP/@@download/ENCFF448PNP.bed.gz	hg19			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF381PAX	bed narrowPeak	peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					2							ENCFF203ABR, ENCFF697CIN	6106558	ENCODE Processing Pipeline	2cf7ff7e4acbf1baa005d9e485d38bcd	https://www.encodeproject.org/files/ENCFF381PAX/@@download/ENCFF381PAX.bed.gz	hg19			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF249CSQ	bed narrowPeak	optimal idr thresholded peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					1, 2							ENCFF381PAX, ENCFF448PNP, ENCFF611TJW	948825	ENCODE Processing Pipeline	c7792cdddbdc1d4b7b0a620f2c98b5fa	https://www.encodeproject.org/files/ENCFF249CSQ/@@download/ENCFF249CSQ.bed.gz	hg19			released	antibody characterized with exemption	experiment not submitted to GEO		
ENCFF791WUN	bed narrowPeak	conservative idr thresholded peaks	ENCSR142IGM	ChIP-seq	EFO:0001187	HepG2	immortalized cell line	child	male	Homo sapiens					FLAG-CEBPA-human	ENCAB697XQW	DNA					2016-11-08	ENCODE					1, 2							ENCFF381PAX, ENCFF448PNP, ENCFF611TJW	858037	ENCODE Processing Pipeline	5a81907dedae9d1b63b350c5e872c7e5	https://www.encodeproject.org/files/ENCFF791WUN/@@download/ENCFF791WUN.bed.gz	hg19			released	antibody characterized with exemption	experiment not submitted to GEO		
